id;contenu_co2;contenu_co2_acv;taux_enr
3425C;0.108;0.087;0.581
3410C;0.113;0.137;0.517
3414C;0.076;0.038;0.639
3404C;0;0.022;1
3409C;0.068;0.094;0.753
3412C;0.046;0.024;0.813
3401C;0.079;0.106;0.651
3405C;0.061;0.083;0.743
3411C;0;0.004;1
3413C;0.058;0.036;0.677
3514C;0.077;0.105;0.698
3508C;0.029;0.05;0.886
3516C;0;0.004;1
3511C;0.067;0.092;0.758
3504C;0.203;0.227;0
3505C;0.039;0.237;0
3506C;0.091;0.119;0.582
3507C;0.088;0.103;0.661
3515C;0.014;0.04;0.966
3512C;0.098;0.127;0.632
3510C;0.054;0.064;0.766
3603C;0.005;0.025;0.974
3601C;0.183;0.176;0.429
3602C;0.016;0.035;0.922
3606C;0.053;0.076;0.765
3605C;0.053;0.076;0.783
3604C;0.078;0.109;0.749
3711C;0.08;0.204;0.577
3701C;0.112;0.14;0.56
3708C;0.11;0.253;0
3705C;0.091;0.116;0.654
3702C;0.062;0.084;0.731
3704C;0.054;0.238;0
3709C;0;0.019;0.999
3710C;0.103;0.256;0
3713C;0.251;0.282;0
3712C;0.056;0.08;0.721
3806C;0.018;0.048;0.948
3803C;0.044;0.052;0.831
3814C;0.03;0.051;0.869
3821C;0.069;0.093;0.742
3820C;0.052;0.078;0.814
3802C;0.042;0.09;0.794
3808C;0.04;0.072;0.91
3809C;0.028;0.054;0.918
3801C;0.031;0.053;0.873
3811C;0.099;0.128;0.681
3805C;0.022;0.052;0.945
3823C;0;0.004;1
3819C;0;0.004;1
3807C;0.022;0.051;0.952
3817C;0.023;0.05;0.939
3824C;0.018;0.046;0.939
3804C;0.061;0.096;0.866
3813C;0.061;0.088;0.795
3826C;0.051;0.074;0.799
3905C;0;0.024;1
3908C;0;0.037;1
3903C;0;0.033;1
3907C;0;0.022;1
3901C;0.099;0.127;0.576
3902C;0.042;0.057;0.84
3904C;0.082;0.117;0.78
4004C;0.458;0.499;0.496
4003C;0.026;0.024;0.887
4005C;0.204;0.186;0.452
4006C;0;0.014;1
4101C;0.021;0.03;0.917
4106C;0.017;0.023;0.934
4103C;0.045;0.068;0.84
4104C;0.026;0.053;0.935
4105C;0;0.025;1
4102C;0.37;0.456;0.335
4211C;0.051;0.075;0.805
4249C;0.033;0.058;0.871
4240C;0.078;0.127;0.9
4241C;0.034;0.061;0.89
4206C;0.089;0.111;0.62
4251C;0.002;0.025;0.993
4217C;0.051;0.083;0.883
4222C;0;0.018;1
4243C;0.009;0.031;0.999
4245C;0;0.02;1
4220C;0;0.027;1
4244C;0;0.02;1
4230C;0.053;0.081;0.841
4212C;0.05;0.077;0.832
4225C;0.05;0.085;0.924
4226C;0.021;0.065;0.964
